id,class
2001,EI
2002,IE
2003,IE
2004,IE
2005,N
2006,N
2007,IE
2008,IE
2009,N
2010,N
2011,N
2012,N
2013,IE
2014,N
2015,EI
2016,EI
2017,IE
2018,N
2019,EI
2020,IE
2021,IE
2022,N
2023,IE
2024,EI
2025,N
2026,N
2027,N
2028,N
2029,N
2030,N
2031,N
2032,N
2033,IE
2034,N
2035,IE
2036,IE
2037,IE
2038,N
2039,IE
2040,IE
2041,IE
2042,IE
2043,IE
2044,IE
2045,IE
2046,IE
2047,IE
2048,IE
2049,IE
2050,N
2051,IE
2052,IE
2053,IE
2054,N
2055,N
2056,N
2057,N
2058,IE
2059,IE
2060,IE
2061,IE
2062,IE
2063,IE
2064,IE
2065,N
2066,N
2067,N
2068,N
2069,N
2070,N
2071,IE
2072,IE
2073,EI
2074,IE
2075,N
2076,N
2077,N
2078,N
2079,N
2080,N
2081,EI
2082,N
2083,EI
2084,N
2085,EI
2086,N
2087,IE
2088,N
2089,N
2090,EI
2091,N
2092,N
2093,EI
2094,N
2095,EI
2096,N
2097,N
2098,IE
2099,N
2100,N
2101,IE
2102,N
2103,EI
2104,N
2105,N
2106,IE
2107,IE
2108,N
2109,N
2110,N
2111,IE
2112,N
2113,N
2114,N
2115,N
2116,N
2117,N
2118,N
2119,N
2120,N
2121,IE
2122,N
2123,N
2124,N
2125,IE
2126,N
2127,N
2128,IE
2129,N
2130,IE
2131,IE
2132,N
2133,IE
2134,IE
2135,EI
2136,EI
2137,N
2138,N
2139,N
2140,IE
2141,IE
2142,N
2143,IE
2144,IE
2145,IE
2146,IE
2147,IE
2148,IE
2149,IE
2150,IE
2151,IE
2152,IE
2153,N
2154,N
2155,N
2156,IE
2157,EI
2158,N
2159,EI
2160,EI
2161,IE
2162,IE
2163,IE
2164,IE
2165,IE
2166,EI
2167,N
2168,IE
2169,IE
2170,N
2171,IE
2172,N
2173,N
2174,EI
2175,N
2176,IE
2177,EI
2178,EI
2179,EI
2180,EI
2181,IE
2182,N
2183,N
2184,EI
2185,IE
2186,EI
2187,IE
2188,N
2189,IE
2190,N
2191,N
2192,IE
2193,N
2194,N
2195,N
2196,EI
2197,IE
2198,IE
2199,EI
2200,IE
2201,IE
2202,N
2203,N
2204,EI
2205,N
2206,EI
2207,N
2208,IE
2209,EI
2210,EI
2211,N
2212,EI
2213,IE
2214,N
2215,IE
2216,N
2217,N
2218,IE
2219,IE
2220,N
2221,IE
2222,N
2223,IE
2224,IE
2225,IE
2226,IE
2227,IE
2228,IE
2229,IE
2230,IE
2231,IE
2232,IE
2233,IE
2234,IE
2235,IE
2236,EI
2237,N
2238,EI
2239,IE
2240,EI
2241,EI
2242,IE
2243,IE
2244,IE
2245,IE
2246,N
2247,IE
2248,N
2249,IE
2250,IE
2251,EI
2252,IE
2253,N
2254,N
2255,N
2256,N
2257,N
2258,N
2259,IE
2260,IE
2261,IE
2262,EI
2263,N
2264,EI
2265,EI
2266,N
2267,IE
2268,EI
2269,N
2270,IE
2271,N
2272,EI
2273,N
2274,N
2275,IE
2276,IE
2277,EI
2278,IE
2279,IE
2280,IE
2281,N
2282,EI
2283,N
2284,N
2285,N
2286,N
2287,N
2288,N
2289,EI
2290,EI
2291,EI
2292,IE
2293,IE
2294,N
2295,IE
2296,N
2297,EI
2298,N
2299,N
2300,IE
2301,N
2302,N
2303,N
2304,N
2305,N
2306,IE
2307,N
2308,N
2309,IE
2310,IE
2311,IE
2312,N
2313,IE
2314,EI
2315,IE
2316,N
2317,N
2318,N
2319,N
2320,N
2321,N
2322,EI
2323,IE
2324,EI
2325,IE
2326,IE
2327,IE
2328,N
2329,N
2330,IE
2331,N
2332,IE
2333,IE
2334,IE
2335,N
2336,N
2337,N
2338,N
2339,IE
2340,IE
2341,N
2342,IE
2343,IE
2344,N
2345,EI
2346,EI
2347,N
2348,N
2349,IE
2350,IE
2351,IE
2352,EI
2353,IE
2354,N
2355,EI
2356,N
2357,N
2358,N
2359,EI
2360,N
2361,EI
2362,N
2363,N
2364,IE
2365,IE
2366,IE
2367,IE
2368,IE
2369,IE
2370,IE
2371,N
2372,IE
2373,N
2374,IE
2375,N
2376,N
2377,N
2378,N
2379,IE
2380,IE
2381,IE
2382,N
2383,IE
2384,N
2385,N
2386,IE
2387,IE
2388,N
2389,IE
2390,EI
2391,EI
2392,EI
2393,EI
2394,IE
2395,IE
2396,N
2397,IE
2398,N
2399,IE
2400,N
2401,IE
2402,IE
2403,N
2404,N
2405,IE
2406,N
2407,N
2408,IE
2409,N
2410,IE
2411,IE
2412,IE
2413,N
2414,IE
2415,IE
2416,EI
2417,IE
2418,IE
2419,IE
2420,IE
2421,IE
2422,EI
2423,N
2424,IE
2425,N
2426,IE
2427,EI
2428,EI
2429,N
2430,EI
2431,EI
2432,N
2433,N
2434,EI
2435,IE
2436,N
2437,EI
2438,N
2439,N
2440,N
2441,IE
2442,N
2443,IE
2444,EI
2445,EI
2446,IE
2447,N
2448,IE
2449,N
2450,IE
2451,IE
2452,N
2453,IE
