id,class
2001,N
2002,N
2003,N
2004,N
2005,IE
2006,IE
2007,N
2008,N
2009,N
2010,N
2011,N
2012,IE
2013,N
2014,N
2015,N
2016,N
2017,N
2018,IE
2019,IE
2020,N
2021,N
2022,IE
2023,N
2024,N
2025,IE
2026,IE
2027,IE
2028,IE
2029,IE
2030,IE
2031,IE
2032,N
2033,N
2034,IE
2035,N
2036,N
2037,N
2038,IE
2039,N
2040,N
2041,N
2042,N
2043,N
2044,N
2045,N
2046,N
2047,N
2048,N
2049,N
2050,IE
2051,N
2052,N
2053,N
2054,IE
2055,N
2056,IE
2057,IE
2058,N
2059,N
2060,N
2061,N
2062,N
2063,N
2064,N
2065,IE
2066,IE
2067,IE
2068,IE
2069,IE
2070,IE
2071,N
2072,N
2073,N
2074,N
2075,N
2076,IE
2077,IE
2078,N
2079,IE
2080,IE
2081,N
2082,IE
2083,N
2084,IE
2085,N
2086,N
2087,N
2088,IE
2089,IE
2090,IE
2091,N
2092,IE
2093,N
2094,IE
2095,N
2096,N
2097,IE
2098,N
2099,IE
2100,N
2101,N
2102,IE
2103,N
2104,N
2105,IE
2106,N
2107,N
2108,N
2109,IE
2110,N
2111,N
2112,IE
2113,IE
2114,IE
2115,N
2116,N
2117,IE
2118,IE
2119,IE
2120,IE
2121,N
2122,N
2123,IE
2124,N
2125,N
2126,IE
2127,IE
2128,N
2129,N
2130,N
2131,N
2132,N
2133,N
2134,N
2135,N
2136,N
2137,N
2138,N
2139,IE
2140,N
2141,N
2142,N
2143,N
2144,N
2145,N
2146,N
2147,N
2148,N
2149,N
2150,N
2151,N
2152,N
2153,N
2154,IE
2155,IE
2156,N
2157,N
2158,IE
2159,N
2160,IE
2161,N
2162,N
2163,N
2164,N
2165,N
2166,IE
2167,N
2168,N
2169,N
2170,N
2171,N
2172,N
2173,IE
2174,N
2175,IE
2176,N
2177,N
2178,N
2179,N
2180,IE
2181,N
2182,IE
2183,N
2184,N
2185,N
2186,IE
2187,N
2188,IE
2189,N
2190,IE
2191,IE
2192,N
2193,IE
2194,IE
2195,IE
2196,N
2197,N
2198,N
2199,N
2200,N
2201,N
2202,N
2203,N
2204,N
2205,IE
2206,N
2207,N
2208,N
2209,N
2210,N
2211,N
2212,IE
2213,N
2214,N
2215,N
2216,IE
2217,IE
2218,N
2219,N
2220,N
2221,N
2222,N
2223,N
2224,N
2225,N
2226,N
2227,N
2228,N
2229,N
2230,N
2231,N
2232,N
2233,N
2234,N
2235,N
2236,N
2237,N
2238,N
2239,N
2240,N
2241,N
2242,N
2243,N
2244,N
2245,N
2246,N
2247,N
2248,N
2249,N
2250,N
2251,N
2252,N
2253,IE
2254,N
2255,IE
2256,IE
2257,N
2258,IE
2259,N
2260,N
2261,N
2262,N
2263,IE
2264,IE
2265,IE
2266,IE
2267,N
2268,N
2269,IE
2270,N
2271,IE
2272,N
2273,IE
2274,IE
2275,N
2276,N
2277,IE
2278,N
2279,N
2280,N
2281,N
2282,N
2283,N
2284,N
2285,N
2286,IE
2287,IE
2288,N
2289,N
2290,N
2291,IE
2292,N
2293,N
2294,IE
2295,N
2296,IE
2297,N
2298,N
2299,IE
2300,N
2301,IE
2302,IE
2303,IE
2304,IE
2305,IE
2306,N
2307,IE
2308,IE
2309,N
2310,N
2311,N
2312,IE
2313,N
2314,N
2315,N
2316,N
2317,IE
2318,IE
2319,N
2320,N
2321,IE
2322,N
2323,N
2324,N
2325,N
2326,N
2327,N
2328,IE
2329,IE
2330,N
2331,IE
2332,N
2333,N
2334,N
2335,N
2336,IE
2337,IE
2338,IE
2339,N
2340,N
2341,N
2342,N
2343,N
2344,IE
2345,N
2346,N
2347,N
2348,IE
2349,N
2350,N
2351,N
2352,N
2353,N
2354,N
2355,N
2356,N
2357,N
2358,IE
2359,N
2360,IE
2361,N
2362,N
2363,N
2364,N
2365,N
2366,N
2367,N
2368,N
2369,N
2370,N
2371,IE
2372,N
2373,IE
2374,N
2375,IE
2376,IE
2377,N
2378,IE
2379,N
2380,N
2381,N
2382,IE
2383,N
2384,IE
2385,N
2386,N
2387,N
2388,IE
2389,N
2390,N
2391,N
2392,N
2393,N
2394,N
2395,N
2396,IE
2397,N
2398,N
2399,N
2400,N
2401,N
2402,N
2403,N
2404,N
2405,N
2406,N
2407,IE
2408,N
2409,IE
2410,N
2411,N
2412,N
2413,N
2414,N
2415,N
2416,N
2417,N
2418,N
2419,N
2420,N
2421,N
2422,N
2423,N
2424,N
2425,N
2426,N
2427,N
2428,N
2429,IE
2430,N
2431,N
2432,IE
2433,N
2434,N
2435,N
2436,IE
2437,N
2438,N
2439,IE
2440,N
2441,N
2442,IE
2443,N
2444,IE
2445,N
2446,N
2447,N
2448,N
2449,N
2450,N
2451,N
2452,IE
2453,N
2454,N
2455,N
2456,N
2457,N
2458,IE
2459,N
2460,N
2461,N
2462,N
2463,N
2464,IE
2465,N
2466,IE
2467,IE
2468,N
2469,N
2470,N
2471,N
2472,N
2473,N
2474,N
2475,N
2476,IE
2477,N
2478,N
2479,IE
2480,N
2481,N
2482,N
2483,N
2484,IE
2485,N
2486,N
2487,N
2488,N
2489,N
2490,N
2491,N
2492,N
2493,N
2494,N
2495,IE
2496,N
2497,N
2498,N
2499,N
2500,N
2501,N
2502,IE
2503,IE
2504,IE
2505,N
2506,N
2507,N
2508,IE
2509,N
2510,IE
2511,IE
2512,N
2513,N
2514,IE
2515,N
2516,IE
2517,N
2518,N
2519,N
2520,N
2521,N
2522,IE
2523,N
2524,IE
2525,IE
2526,IE
2527,IE
2528,IE
2529,N
2530,N
2531,N
2532,IE
2533,N
2534,N
2535,IE
2536,N
2537,N
2538,N
2539,IE
2540,N
2541,IE
2542,N
2543,IE
2544,N
2545,N
2546,N
2547,N
2548,N
2549,N
2550,N
2551,IE
2552,IE
2553,IE
2554,N
2555,IE
2556,N
2557,IE
2558,N
2559,IE
2560,N
2561,IE
2562,IE
2563,N
2564,IE
2565,N
2566,IE
2567,N
2568,N
2569,IE
2570,N
2571,IE
2572,N
2573,IE
2574,N
2575,IE
2576,N
2577,N
2578,N
2579,N
2580,N
2581,IE
2582,N
2583,N
2584,N
2585,IE
2586,N
2587,N
2588,IE
2589,N
2590,IE
2591,N
2592,N
2593,N
2594,N
2595,N
2596,N
2597,N
2598,N
2599,N
2600,IE
2601,N
2602,N
2603,N
2604,N
2605,N
2606,N
2607,IE
2608,N
2609,IE
2610,IE
2611,N
2612,N
2613,IE
2614,N
2615,N
2616,IE
2617,IE
2618,IE
2619,IE
2620,N
2621,IE
2622,N
2623,N
2624,N
2625,N
2626,IE
2627,N
2628,N
2629,N
2630,N
2631,IE
2632,N
2633,N
2634,N
2635,N
2636,N
2637,N
2638,IE
2639,IE
2640,IE
2641,N
2642,IE
2643,N
2644,N
2645,N
2646,N
2647,N
2648,N
2649,N
2650,N
2651,N
2652,N
2653,N
2654,N
2655,N
2656,N
2657,N
2658,N
2659,N
2660,N
2661,N
2662,N
2663,N
2664,N
2665,N
2666,IE
2667,N
2668,N
2669,N
2670,N
2671,N
2672,N
2673,IE
2674,N
2675,N
2676,N
2677,N
2678,N
2679,N
2680,N
2681,N
2682,N
2683,N
2684,N
2685,N
2686,N
2687,N
2688,N
2689,N
2690,N
2691,N
2692,N
2693,N
2694,N
2695,IE
2696,N
2697,N
2698,N
2699,IE
2700,IE
2701,IE
2702,IE
2703,N
2704,N
2705,N
2706,IE
2707,N
2708,IE
2709,N
2710,N
2711,IE
2712,N
2713,N
2714,IE
2715,N
2716,N
2717,IE
2718,IE
2719,N
2720,N
2721,N
2722,N
2723,N
2724,N
2725,IE
2726,N
2727,N
2728,N
2729,N
2730,N
2731,N
2732,N
2733,N
2734,N
2735,N
2736,N
2737,N
2738,N
2739,N
2740,N
2741,N
2742,IE
2743,N
2744,N
2745,IE
2746,IE
2747,N
2748,N
2749,N
2750,N
2751,N
2752,N
2753,N
2754,N
2755,IE
2756,N
2757,N
2758,N
2759,N
2760,IE
2761,N
2762,N
2763,IE
2764,N
2765,N
2766,N
2767,N
2768,N
2769,N
2770,N
2771,N
2772,IE
2773,N
2774,N
2775,N
2776,N
2777,N
2778,IE
2779,N
2780,IE
2781,N
2782,N
2783,IE
2784,N
2785,IE
2786,N
2787,IE
2788,N
2789,IE
2790,IE
2791,IE
2792,IE
2793,N
2794,N
2795,N
2796,N
2797,N
2798,IE
2799,N
2800,IE
2801,IE
2802,N
2803,IE
2804,N
2805,N
2806,N
2807,N
2808,N
2809,N
2810,N
2811,N
2812,IE
2813,N
2814,IE
2815,N
2816,IE
2817,IE
2818,IE
2819,N
2820,N
2821,N
2822,N
2823,IE
2824,N
2825,IE
2826,IE
2827,N
2828,IE
2829,IE
2830,IE
2831,N
2832,N
2833,N
2834,N
2835,IE
2836,N
2837,N
2838,IE
2839,N
2840,IE
2841,N
2842,IE
2843,IE
2844,N
2845,N
2846,IE
2847,N
2848,N
2849,N
2850,N
2851,N
2852,IE
2853,N
2854,N
2855,N
2856,N
2857,N
2858,IE
2859,N
2860,N
2861,IE
2862,IE
2863,N
2864,N
2865,N
2866,N
2867,IE
2868,N
2869,IE
2870,N
2871,N
2872,N
2873,N
2874,IE
2875,N
2876,N
2877,IE
2878,IE
2879,N
2880,N
2881,IE
2882,N
2883,N
2884,IE
2885,N
2886,N
2887,N
2888,IE
2889,N
2890,IE
2891,N
2892,IE
2893,N
2894,N
2895,IE
2896,N
2897,N
2898,N
2899,IE
2900,N
2901,IE
2902,N
2903,N
2904,N
2905,N
2906,N
2907,N
2908,N
2909,N
2910,N
2911,N
2912,IE
2913,N
2914,N
2915,N
2916,N
2917,N
2918,N
2919,N
2920,N
2921,N
2922,N
2923,N
2924,N
2925,IE
2926,N
2927,N
2928,IE
2929,N
2930,N
2931,IE
2932,IE
2933,IE
2934,IE
2935,N
2936,N
2937,IE
2938,IE
2939,N
2940,N
2941,N
2942,N
2943,N
2944,N
2945,N
2946,IE
2947,IE
2948,N
2949,N
2950,N
2951,N
2952,IE
2953,IE
2954,IE
2955,N
2956,N
2957,IE
2958,N
2959,N
2960,IE
2961,N
2962,N
2963,N
2964,IE
2965,IE
2966,IE
2967,IE
2968,N
2969,N
2970,N
2971,N
2972,IE
2973,N
2974,N
2975,N
2976,IE
2977,IE
2978,IE
2979,N
2980,N
2981,IE
2982,N
2983,N
2984,IE
2985,IE
2986,N
2987,N
2988,IE
2989,N
2990,N
2991,N
2992,IE
2993,N
2994,N
2995,N
2996,N
2997,IE
2998,N
2999,N
3000,N
3001,IE
3002,N
3003,N
3004,N
3005,N
3006,N
3007,N
3008,N
3009,IE
3010,N
3011,IE
3012,N
3013,IE
3014,N
3015,N
3016,IE
3017,IE
3018,IE
3019,IE
3020,N
3021,IE
3022,IE
3023,IE
3024,IE
3025,N
3026,IE
3027,N
3028,N
3029,IE
3030,N
3031,N
3032,N
3033,N
3034,IE
3035,N
3036,N
3037,N
3038,IE
3039,N
3040,N
3041,N
3042,N
3043,N
3044,N
3045,N
3046,N
3047,N
3048,N
3049,N
3050,IE
3051,N
3052,N
3053,N
3054,N
3055,N
3056,IE
3057,N
3058,N
3059,N
3060,N
3061,N
3062,N
3063,N
3064,N
3065,N
3066,IE
3067,N
3068,N
3069,IE
3070,N
3071,IE
3072,N
3073,IE
3074,N
3075,N
3076,IE
3077,N
3078,N
3079,N
3080,N
3081,N
3082,N
3083,N
3084,IE
3085,N
3086,N
3087,IE
3088,N
3089,N
3090,N
3091,IE
3092,IE
3093,IE
3094,N
3095,N
3096,N
3097,N
3098,N
3099,IE
3100,IE
3101,N
3102,N
3103,IE
3104,N
3105,N
3106,N
3107,N
3108,N
3109,N
3110,N
3111,IE
3112,N
3113,N
3114,N
3115,N
3116,N
3117,IE
3118,IE
3119,N
3120,N
3121,N
3122,N
3123,N
3124,IE
3125,IE
3126,N
3127,N
3128,IE
3129,N
3130,N
3131,N
3132,N
3133,IE
3134,IE
3135,IE
3136,IE
3137,N
3138,IE
3139,IE
3140,N
3141,IE
3142,IE
3143,N
3144,IE
3145,IE
3146,IE
3147,N
3148,N
3149,N
3150,N
3151,N
3152,N
3153,N
3154,IE
3155,N
3156,N
3157,N
3158,N
3159,N
3160,N
3161,N
3162,IE
3163,N
3164,N
3165,N
3166,N
3167,N
3168,N
3169,IE
3170,N
3171,IE
3172,N
3173,IE
3174,N
3175,N
3176,N
3177,N
3178,N
3179,N
3180,N
3181,IE
3182,IE
3183,N
3184,IE
3185,IE
3186,N
3187,IE
3188,N
3189,IE
3190,N
